,rank,title,cluster,genre
1,0,The Godfather,1,"[u' Crime', u' Drama']"
0,1,The Shawshank Redemption,0,"[u' Crime', u' Drama']"
1,2,Schindler's List,1,"[u' Biography', u' Drama', u' History']"
4,3,Raging Bull,4,"[u' Biography', u' Drama', u' Sport']"
3,4,Casablanca,3,"[u' Drama', u' Romance', u' War']"
0,5,One Flew Over the Cuckoo's Nest,0,[u' Drama']
1,6,Gone with the Wind,1,"[u' Drama', u' Romance', u' War']"
4,7,Citizen Kane,4,"[u' Drama', u' Mystery']"
1,8,The Wizard of Oz,1,"[u' Adventure', u' Family', u' Fantasy', u' Musical']"
1,9,Titanic,1,"[u' Drama', u' Romance']"
0,10,Lawrence of Arabia,0,"[u' Adventure', u' Biography', u' Drama', u' History', u' War']"
4,11,The Godfather: Part II,4,"[u' Crime', u' Drama']"
3,12,Psycho,3,"[u' Horror', u' Mystery', u' Thriller']"
3,13,Sunset Blvd.,3,"[u' Drama', u' Film-Noir']"
3,14,Vertigo,3,"[u' Mystery', u' Romance', u' Thriller']"
4,15,On the Waterfront,4,"[u' Crime', u' Drama']"
1,16,Forrest Gump,1,"[u' Drama', u' Romance']"
1,17,The Sound of Music,1,"[u' Biography', u' Drama', u' Family', u' Musical', u' Romance']"
3,18,West Side Story,3,"[u' Crime', u' Drama', u' Musical', u' Romance', u' Thriller']"
0,19,Star Wars,0,"[u' Action', u' Adventure', u' Fantasy', u' Sci-Fi']"
1,20,E.T. the Extra-Terrestrial,1,"[u' Adventure', u' Family', u' Sci-Fi']"
4,21,2001: A Space Odyssey,4,"[u' Mystery', u' Sci-Fi']"
0,22,The Silence of the Lambs,0,"[u' Crime', u' Drama', u' Thriller']"
3,23,Chinatown,3,"[u' Drama', u' Mystery', u' Thriller']"
0,24,The Bridge on the River Kwai,0,"[u' Adventure', u' Drama', u' War']"
3,25,Singin' in the Rain,3,"[u' Comedy', u' Musical', u' Romance']"
2,26,It's a Wonderful Life,2,"[u' Drama', u' Family', u' Fantasy']"
3,27,Some Like It Hot,3,[u' Comedy']
3,28,12 Angry Men,3,[u' Drama']
0,29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,"[u' Comedy', u' War']"
3,30,Amadeus,3,"[u' Biography', u' Drama', u' Music']"
0,31,Apocalypse Now,0,"[u' Drama', u' War']"
4,32,Gandhi,4,"[u' Biography', u' Drama', u' History']"
1,33,The Lord of the Rings: The Return of the King,1,"[u' Adventure', u' Fantasy']"
0,34,Gladiator,0,"[u' Action', u' Drama']"
0,35,From Here to Eternity,0,"[u' Drama', u' Romance', u' War']"
0,36,Saving Private Ryan,0,"[u' Action', u' Drama', u' War']"
3,37,Unforgiven,3,[u' Western']
0,38,Raiders of the Lost Ark,0,"[u' Action', u' Adventure']"
4,39,Rocky,4,"[u' Drama', u' Sport']"
1,40,A Streetcar Named Desire,1,[u' Drama']
2,41,The Philadelphia Story,2,"[u' Comedy', u' Romance']"
3,42,To Kill a Mockingbird,3,[u' Drama']
2,43,An American in Paris,2,"[u' Musical', u' Romance']"
1,44,The Best Years of Our Lives,1,"[u' Drama', u' Romance', u' War']"
3,45,My Fair Lady,3,"[u' Drama', u' Family', u' Musical', u' Romance']"
1,46,Ben-Hur,1,"[u' Adventure', u' Drama']"
1,47,Doctor Zhivago,1,"[u' Drama', u' Romance', u' War']"
0,48,Patton,0,"[u' Biography', u' Drama', u' War']"
0,49,Jaws,0,"[u' Drama', u' Thriller']"
4,50,Braveheart,4,"[u' Action', u' Biography', u' Drama', u' History', u' War']"
4,51,"The Good, the Bad and the Ugly",4,[u' Western']
3,52,Butch Cassidy and the Sundance Kid,3,"[u' Biography', u' Crime', u' Western']"
3,53,The Treasure of the Sierra Madre,3,"[u' Action', u' Adventure', u' Drama', u' Western']"
1,54,The Apartment,1,"[u' Comedy', u' Drama', u' Romance']"
0,55,Platoon,0,"[u' Drama', u' War']"
3,56,High Noon,3,[u' Western']
0,57,Dances with Wolves,0,"[u' Adventure', u' Drama', u' Western']"
1,58,The Pianist,1,"[u' Biography', u' Drama', u' War']"
1,59,Goodfellas,1,"[u' Biography', u' Crime', u' Drama']"
3,60,The Exorcist,3,[u' Horror']
0,61,The Deer Hunter,0,"[u' Drama', u' War']"
0,62,All Quiet on the Western Front,0,"[u' Drama', u' War']"
3,63,The French Connection,3,"[u' Action', u' Crime', u' Thriller']"
4,64,City Lights,4,"[u' Comedy', u' Drama', u' Romance']"
2,65,The King's Speech,2,"[u' Biography', u' Drama', u' History']"
3,66,It Happened One Night,3,"[u' Comedy', u' Romance']"
2,67,A Place in the Sun,2,"[u' Drama', u' Romance']"
4,68,Midnight Cowboy,4,[u' Drama']
3,69,Mr. Smith Goes to Washington,3,[u' Drama']
4,70,Rain Man,4,[u' Drama']
4,71,Annie Hall,4,"[u' Comedy', u' Drama', u' Romance']"
1,72,Out of Africa,1,"[u' Biography', u' Drama', u' Romance']"
1,73,Good Will Hunting,1,[u' Drama']
4,74,Terms of Endearment,4,"[u' Comedy', u' Drama']"
2,75,Tootsie,2,"[u' Comedy', u' Drama', u' Romance']"
3,76,Fargo,3,"[u' Crime', u' Drama', u' Thriller']"
1,77,Giant,1,"[u' Drama', u' Romance']"
1,78,The Grapes of Wrath,1,[u' Drama']
3,79,Shane,3,"[u' Drama', u' Romance', u' Western']"
0,80,The Green Mile,0,"[u' Crime', u' Drama', u' Fantasy', u' Mystery']"
3,81,Close Encounters of the Third Kind,3,"[u' Drama', u' Sci-Fi']"
1,82,Network,1,[u' Drama']
4,83,Nashville,4,"[u' Drama', u' Music']"
3,84,The Graduate,3,"[u' Comedy', u' Drama', u' Romance']"
3,85,American Graffiti,3,"[u' Comedy', u' Drama']"
3,86,Pulp Fiction,3,"[u' Crime', u' Drama', u' Thriller']"
0,87,The African Queen,0,"[u' Adventure', u' Romance', u' War']"
0,88,Stagecoach,0,"[u' Adventure', u' Western']"
0,89,Mutiny on the Bounty,0,"[u' Adventure', u' Drama', u' History']"
3,90,The Maltese Falcon,3,"[u' Drama', u' Film-Noir', u' Mystery']"
0,91,A Clockwork Orange,0,"[u' Crime', u' Drama', u' Sci-Fi']"
3,92,Taxi Driver,3,"[u' Crime', u' Drama']"
3,93,Wuthering Heights,3,"[u' Drama', u' Romance']"
3,94,Double Indemnity,3,"[u' Crime', u' Drama', u' Film-Noir', u' Thriller']"
3,95,Rebel Without a Cause,3,[u' Drama']
3,96,Rear Window,3,"[u' Mystery', u' Thriller']"
3,97,The Third Man,3,"[u' Film-Noir', u' Mystery', u' Thriller']"
3,98,North by Northwest,3,"[u' Mystery', u' Thriller']"
1,99,Yankee Doodle Dandy,1,"[u' Biography', u' Drama', u' Musical']"
